Year,,Winner,,Country
2021,,Al Hilal,,Saudi Arabia
2020,,Ulsan Hyundai,,South Korea
2019,,Al Hilal,,Saudi Arabia
2018,,Kashima Antlers,,Japan
2017,,Urawa Red Diamonds,,Japan
2016,,Jeonbuk FC,,South Korea
2015,,Guangzhou Evergrande,,China
2014,,Western Sydney Wanderers,,Australia
2013,,Guangzhou Evergrande,,China
2012,,Ulsan Hyundai,,South Korea
2011,,Al Sadd,,Qatar
2010,,Seongnam Ilhwa Chunma,,South Korea
2009,,Pohang Steelers,,South Korea
2008,,Gamba Osaka,,Japan
2007,,Urawa Red Diamonds,,Japan
2006,,Jeonbuk FC,,South Korea
2005,,Al Ittihad,,Saudi Arabia
2004,,Al Ittihad,,Saudi Arabia
2003,,Al Ain FC,,UA Emirates
2002,,Suwon Bluewings,,South Korea
2001,,Suwon Bluewings,,South Korea
2000,,Al Hilal,,Saudi Arabia
1999,,J̼bilo Iwata,,Japan
1998,,Pohang Steelers,,South Korea
1997,,Pohang Steelers,,South Korea
1996,,Cheonan Ilhwa Chunma,,South Korea
1995,,Thai Farmers Bank,,Thailand
1994,,Thai Farmers Bank,,Thailand
1993,,Pas Tehran,,Iran
1992,,Al Hilal,,Saudi Arabia
1991,,Esteghlal,,Iran
1990,,Liaoning FC,,China
1989,,Al Sadd,,Qatar
1988,,Nippon Kokan,,Japan
1987,,JR East Furukawa FC,,Japan
1986,,Daewoo Royals,,South Korea
1971,,Maccabi Tel Aviv,,Israel
1970,,Taj,,Iran
1968,,Maccabi Tel Aviv,,Israel
1967,,Hapoel Tel Aviv,,Israel